Wall time,Step,Value
1752430886.5157611,0,0.09232443571090698
1752430994.1100442,1,0.2625763714313507
1752431100.8473198,2,0.4436260163784027
1752431206.6443944,3,0.5789738297462463
1752431312.4240046,4,0.6777433753013611
1752431418.4780953,5,0.7554197907447815
1752431526.753825,6,0.8107474446296692
1752431640.638458,7,0.8611366748809814
1752431752.5613139,8,0.8936134576797485
1752431862.099607,9,0.9234954118728638
1752431969.5592842,10,0.9386456608772278
1752432075.653513,11,0.954549252986908
1752432181.6464756,12,0.9609943628311157
1752432287.1502433,13,0.9687787890434265
1752432395.358735,14,0.9719594717025757
