Wall time,Step,Value
1752430886.515669,0,3.0506482124328613
1752430994.1099825,1,2.4666860103607178
1752431100.847257,2,1.7694276571273804
1752431206.6443279,3,1.3537318706512451
1752431312.4239426,4,1.050577998161316
1752431418.4780347,5,0.832439124584198
1752431526.7537525,6,0.6653692126274109
1752431640.6383874,7,0.5242065787315369
1752431752.5612466,8,0.4242135286331177
1752431862.0995183,9,0.3370653986930847
1752431969.559204,10,0.2821533977985382
1752432075.6534598,11,0.22859221696853638
1752432181.6464174,12,0.19322232902050018
1752432287.150185,13,0.16239586472511292
1752432395.358671,14,0.14078493416309357
